Año,Trimestre,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2018,2,Chaco,97.970,87.214,7.190,388,3.178
2018,2,Chubut,117.005,104.159,8.587,464,3.795
2018,2,Córdoba,683.794,608.719,50.183,2.711,22.181
2018,2,Corrientes,99.001,88.131,7.266,393,3.211
2018,2,Entre Ríos,213.670,190.211,15.681,847,6.931
2018,2,Formosa,39.741,35.377,2.917,158,1.289
2018,2,Jujuy,53.642,47.752,3.937,213,1.740
2018,2,La Pampa,75.704,67.392,5.556,300,2.456
2018,2,La Rioja,35.170,31.309,2.581,139,1.141
2018,2,Mendoza,360.453,320.879,26.453,1.429,11.692
2018,2,Misiones,108.094,96.226,7.933,429,3.506
2018,2,Neuquén,97.148,86.482,7.130,385,3.151
2018,2,Río Negro,139.757,124.413,10.257,554,4.533
2018,2,Salta,131.938,117.452,9.683,523,4.280
2018,2,San Juan,115.192,102.544,8.454,457,3.737
2018,2,San Luis,44.326,39.459,3.253,176,1.438
2018,2,Santa Cruz,44.258,39.399,3.248,175,1.436
2018,2,Santa Fe,685.345,610.100,50.297,2.717,22.231
2018,2,Santiago del Estero,55.208,49.146,4.052,219,1.791
2018,2,Tierra del Fuego,33.372,29.708,2.449,132,1.083
2018,2,Tucumán,214.298,190.770,15.727,850,6.951
2018,1,Buenos Aires,4.437.761,3.897.738,326.697,17.191,196.135
2018,1,Capital Federal,1.732.094,1.521.319,127.512,6.710,76.553
2018,1,Catamarca,38.375,33.705,2.825,149,1.696
2018,1,Chaco,99.037,86.985,7.291,384,4.377
2018,1,Chubut,113.978,100.108,8.391,442,5.037
2018,1,Córdoba,691.843,607.654,50.932,2.680,30.577
2018,1,Corrientes,99.564,87.448,7.330,386,4.400
2018,1,Entre Ríos,215.675,189.431,15.877,835,9.532
2018,1,Formosa,40.111,35.230,2.953,155,1.773
2018,1,Jujuy,54.304,47.696,3.998,210,2.400
2018,1,La Pampa,75.269,66.109,5.541,292,3.327
2018,1,La Rioja,35.980,31.602,2.649,139,1.590
2018,1,Mendoza,360.420,316.562,26.533,1.396,15.929
2018,1,Misiones,103.398,90.815,7.612,401,4.570
2018,1,Neuquén,97.217,85.386,7.157,377,4.297
2018,1,Río Negro,139.844,122.826,10.295,542,6.181
2018,1,Salta,134.030,117.720,9.867,519,5.924
2018,1,San Juan,115.192,101.175,8.480,446,5.091
2018,1,San Luis,44.327,38.933,3.263,172,1.959
2018,1,Santa Cruz,44.206,38.827,3.254,171,1.954
2018,1,Santa Fe,689.027,605.181,50.724,2.669,30.453
2018,1,Santiago del Estero,57.141,50.188,4.207,221,2.525
2018,1,Tierra del Fuego,33.372,29.311,2.457,129,1.475
2018,1,Tucumán,214.755,188.622,15.810,832,9.491
2017,4,Buenos Aires,4.881.863,4.268.288,343.324,18.011,252.240
2017,4,Capital Federal,1.618.260,1.414.870,113.807,5.970,83.613
2017,4,Catamarca,38.665,33.805,2.719,143,1.998
2017,4,Chaco,102.077,89.247,7.179,377,5.274
2017,4,Chubut,122.592,107.185,8.621,452,6.334
2017,4,Córdoba,704.306,615.786,49.531,2.598,36.391
2017,4,Corrientes,102.049,89.223,7.177,376,5.273
2017,4,Entre Ríos,223.126,195.082,15.692,823,11.529
2017,4,Formosa,41.139,35.968,2.893,152,2.126
2017,4,Jujuy,56.418,49.327,3.968,208,2.915
2017,4,La Pampa,83.364,72.886,5.863,308,4.307
2017,4,La Rioja,37.770,33.023,2.656,139,1.952
2017,4,Mendoza,381.118,333.217,26.803,1.406,19.692
2017,4,Misiones,115.189,100.711,8.101,425,5.952
2017,4,Neuquén,101.846,89.046,7.162,376,5.262
2017,4,Río Negro,145.598,127.299,10.239,537,7.523
2017,4,Salta,139.346,121.832,9.800,514,7.200
2017,4,San Juan,114.113,99.771,8.025,421,5.896
2017,4,San Luis,53.797,47.036,3.783,198,2.780
2017,4,Santa Cruz,47.233,41.297,3.322,174,2.440
2017,4,Santa Fe,742.944,649.567,52.249,2.741,38.387
2017,4,Santiago del Estero,64.481,56.376,4.535,238,3.332
2017,4,Tierra del Fuego,38.952,34.056,2.739,144,2.013
2017,4,Tucumán,211.561,184.971,14.878,781,10.931
2017,3,Buenos Aires,4.780.187,4.166.450,341.904,17.491,254.342
2017,3,Capital Federal,1.605.054,1.398.978,114.802,5.873,85.401
2017,3,Catamarca,38.840,33.853,2.778,142,2.067
2017,3,Chaco,102.824,89.623,7.354,376,5.471
2017,3,Chubut,118.225,103.046,8.456,433,6.290
2017,3,Córdoba,704.433,613.989,50.385,2.578,37.481
2017,3,Corrientes,102.558,89.391,7.335,375,5.457
2017,3,Entre Ríos,224.703,195.853,16.072,822,11.956
2017,3,Formosa,41.233,35.939,2.949,151,2.194
2017,3,Jujuy,56.581,49.316,4.047,207,3.011
2017,3,La Pampa,82.810,72.178,5.923,303,4.406
2017,3,La Rioja,38.014,33.133,2.719,139,2.023
2017,3,Mendoza,377.803,329.297,27.022,1.382,20.102
2017,3,Misiones,110.690,96.478,7.917,405,5.890
2017,3,Neuquén,101.751,88.687,7.278,372,5.414
2017,3,Río Negro,143.888,125.414,10.292,526,7.656
2017,3,Salta,139.723,121.784,9.994,511,7.434
2017,3,San Juan,112.398,97.968,8.039,411,5.980
2017,3,San Luis,53.793,46.886,3.848,197,2.862
2017,3,Santa Cruz,44.728,38.985,3.199,164,2.380
2017,3,Santa Fe,739.999,644.988,52.929,2.708,39.374
2017,3,Santiago del Estero,65.541,57.126,4.688,240,3.487
2017,3,Tierra del Fuego,38.815,33.832,2.776,142,2.065
2017,3,Tucumán,211.547,184.386,15.131,774,11.256
2017,2,Buenos Aires,4.916.108,4.280.149,359.598,18.042,258.319
2017,2,Capital Federal,1.580.199,1.375.781,115.587,5.799,83.032
2017,2,Catamarca,38.551,33.564,2.820,141,2.026
2017,2,Chaco,103.002,89.678,7.534,378,5.412
2017,2,Chubut,115.321,100.403,8.435,423,6.060
2017,2,Córdoba,703.322,612.339,51.446,2.581,36.956
2017,2,Corrientes,102.444,89.192,7.493,376,5.383
2017,2,Entre Ríos,225.017,195.908,16.459,826,11.824
2017,2,Formosa,40.743,35.472,2.980,150,2.141
2017,2,Jujuy,56.381,49.087,4.124,207,2.963
2017,2,La Pampa,81.939,71.338,5.994,301,4.306
2017,2,La Rioja,37.869,32.970,2.770,139,1.990
2017,2,Mendoza,370.071,322.197,27.070,1.358,19.446
2017,2,Misiones,110.533,96.234,8.085,406,5.808
2017,2,Neuquén,98.956,86.155,7.238,363,5.200
2017,2,Río Negro,141.053,122.805,10.318,518,7.412
2017,2,Salta,139.208,121.199,10.183,511,7.315
2017,2,San Juan,107.299,93.418,7.849,394,5.638
2017,2,San Luis,53.178,46.299,3.890,195,2.794
2017,2,Santa Cruz,44.254,38.530,3.237,162,2.325
2017,2,Santa Fe,741.843,645.875,54.264,2.723,38.981
2017,2,Santiago del Estero,66.024,57.484,4.829,242,3.469
2017,2,Tierra del Fuego,37.976,33.064,2.778,139,1.995
2017,2,Tucumán,210.228,183.031,15.378,772,11.047
2017,1,Buenos Aires,4.872.542,4.259.081,343.205,18.007,252.249
2017,1,Capital Federal,1.608.800,1.406.249,113.318,5.946,83.287
2017,1,Catamarca,38.665,33.797,2.723,143,2.002
2017,1,Chaco,102.077,89.226,7.190,377,5.284
2017,1,Chubut,122.592,107.157,8.635,453,6.347
2017,1,Córdoba,702.744,614.267,49.499,2.597,36.381
2017,1,Corrientes,102.049,89.201,7.188,377,5.283
2017,1,Entre Ríos,223.126,195.034,15.716,825,11.551
2017,1,Formosa,41.139,35.959,2.898,152,2.130
2017,1,Jujuy,56.418,49.314,3.974,209,2.921
2017,1,La Pampa,83.364,72.868,5.872,308,4.316
2017,1,La Rioja,37.770,33.015,2.660,140,1.955
2017,1,Mendoza,381.118,333.135,26.845,1.408,19.730
2017,1,Misiones,115.189,100.687,8.113,426,5.963
2017,1,Neuquén,101.846,89.023,7.174,376,5.273
2017,1,Río Negro,145.598,127.267,10.255,538,7.538
2017,1,Salta,139.346,121.802,9.815,515,7.214
2017,1,San Juan,114.113,99.745,8.038,422,5.908
2017,1,San Luis,53.797,47.024,3.789,199,2.785
2017,1,Santa Cruz,47.233,41.286,3.327,175,2.445
2017,1,Santa Fe,741.856,648.454,52.254,2.742,38.406
2017,1,Santiago del Estero,64.481,56.363,4.542,238,3.338
2017,1,Tierra del Fuego,38.952,34.047,2.744,144,2.017
2017,1,Tucumán,211.561,184.925,14.902,782,10.952
2016,4,Buenos Aires,4.881.863,4.268.288,343.324,18.011,252.240
2016,4,Capital Federal,1.618.260,1.414.870,113.807,5.970,83.613
2016,4,Catamarca,38.665,33.805,2.719,143,1.998
2016,4,Chaco,102.077,89.247,7.179,377,5.274
2016,4,Chubut,122.592,107.185,8.621,452,6.334
2016,4,Córdoba,704.306,615.786,49.531,2.598,36.391
2016,4,Corrientes,102.049,89.223,7.177,376,5.273
2016,4,Entre Ríos,223.126,195.082,15.692,823,11.529
2016,4,Formosa,41.139,35.968,2.893,152,2.126
2016,4,Jujuy,56.418,49.327,3.968,208,2.915
2016,4,La Pampa,83.364,72.886,5.863,308,4.307
2016,4,La Rioja,37.770,33.023,2.656,139,1.952
2016,4,Mendoza,381.118,333.217,26.803,1.406,19.692
2016,4,Misiones,115.189,100.711,8.101,425,5.952
2016,4,Neuquén,101.846,89.046,7.162,376,5.262
2016,4,Río Negro,145.598,127.299,10.239,537,7.523
2016,4,Salta,139.346,121.832,9.800,514,7.200
2016,4,San Juan,114.113,99.771,8.025,421,5.896
2016,4,San Luis,53.797,47.036,3.783,198,2.780
2016,4,Santa Cruz,47.233,41.297,3.322,174,2.440
2016,4,Santa Fe,742.944,649.567,52.249,2.741,38.387
2016,4,Santiago del Estero,64.481,56.376,4.535,238,3.332
2016,4,Tierra del Fuego,38.952,34.056,2.739,144,2.013
2016,4,Tucumán,211.561,184.971,14.878,781,10.931
2016,3,Buenos Aires,4.780.187,4.166.450,341.904,17.491,254.342
2016,3,Capital Federal,1.605.054,1.398.978,114.802,5.873,85.401
2016,3,Catamarca,38.840,33.853,2.778,142,2.067
2016,3,Chaco,102.824,89.623,7.354,376,5.471
2016,3,Chubut,118.225,103.046,8.456,433,6.290
2016,3,Córdoba,704.433,613.989,50.385,2.578,37.481
2016,3,Corrientes,102.558,89.391,7.335,375,5.457
2016,3,Entre Ríos,224.703,195.853,16.072,822,11.956
2016,3,Formosa,41.233,35.939,2.949,151,2.194
2016,3,Jujuy,56.581,49.316,4.047,207,3.011
2016,3,La Pampa,82.810,72.178,5.923,303,4.406
2016,3,La Rioja,38.014,33.133,2.719,139,2.023
2016,3,Mendoza,377.803,329.297,27.022,1.382,20.102
2016,3,Misiones,110.690,96.478,7.917,405,5.890
2016,3,Neuquén,101.751,88.687,7.278,372,5.414
2016,3,Río Negro,143.888,125.414,10.292,526,7.656
2016,3,Salta,139.723,121.784,9.994,511,7.434
2016,3,San Juan,112.398,97.968,8.039,411,5.980
2016,3,San Luis,53.793,46.886,3.848,197,2.862
2016,3,Santa Cruz,44.728,38.985,3.199,164,2.380
2016,3,Santa Fe,739.999,644.988,52.929,2.708,39.374
2016,3,Santiago del Estero,65.541,57.126,4.688,240,3.487
2016,3,Tierra del Fuego,38.815,33.832,2.776,142,2.065
2016,3,Tucumán,211.547,184.386,15.131,774,11.256
2016,2,Buenos Aires,4.916.108,4.280.149,359.598,18.042,258.319
2016,2,Capital Federal,1.580.199,1.375.781,115.587,5.799,83.032
2016,2,Catamarca,38.551,33.564,2.820,141,2.026
2016,2,Chaco,103.002,89.678,7.534,378,5.412
2016,2,Chubut,115.321,100.403,8.435,423,6.060
2016,2,Córdoba,703.322,612.339,51.446,2.581,36.956
2016,2,Corrientes,102.444,89.192,7.493,376,5.383
2016,2,Entre Ríos,225.017,195.908,16.459,826,11.824
2016,2,Formosa,40.743,35.472,2.980,150,2.141
2016,2,Jujuy,56.381,49.087,4.124,207,2.963
2016,2,La Pampa,81.939,71.338,5.994,301,4.306
2016,2,La Rioja,37.869,32.970,2.770,139,1.990
2016,2,Mendoza,370.071,322.197,27.070,1.358,19.446
2016,2,Misiones,110.533,96.234,8.085,406,5.808
2016,2,Neuquén,98.956,86.155,7.238,363,5.200
2016,2,Río Negro,141.053,122.805,10.318,518,7.412
2016,2,Salta,139.208,121.199,10.183,511,7.315
2016,2,San Juan,107.299,93.418,7.849,394,5.638
2016,2,San Luis,53.178,46.299,3.890,195,2.794
2016,2,Santa Cruz,44.254,38.530,3.237,162,2.325
2016,2,Santa Fe,741.843,645.875,54.264,2.723,38.981
2016,2,Santiago del Estero,66.024,57.484,4.829,242,3.469
2016,2,Tierra del Fuego,37.976,33.064,2.778,139,1.995
2016,2,Tucumán,210.228,183.031,15.378,772,11.047
2016,1,Buenos Aires,4.872.542,4.259.081,343.205,18.007,252.249
2016,1,Capital Federal,1.608.800,1.406.249,113.318,5.946,83.287
2016,1,Catamarca,38.665,33.797,2.723,143,2.002
2016,1,Chaco,102.077,89.226,7.190,377,5.284
2016,1,Chubut,122.592,107.157,8.635,453,6.347
2016,1,Córdoba,702.744,614.267,49.499,2.597,36.381
2016,1,Corrientes,102.049,89.201,7.188,377,5.283
2016,1,Entre Ríos,223.126,195.034,15.716,825,11.551
2016,1,Formosa,41.139,35.959,2.898,152,2.130
2016,1,Jujuy,56.418,49.314,3.974,209,2.921
2016,1,La Pampa,83.364,72.868,5.872,308,4.316
2016,1,La Rioja,37.770,33.015,2.660,140,1.955
2016,1,Mendoza,381.118,333.135,26.845,1.408,19.730
2016,1,Misiones,115.189,100.687,8.113,426,5.963
2016,1,Neuquén,101.846,89.023,7.174,376,5.273
2016,1,Río Negro,145.598,127.267,10.255,538,7.538
2016,1,Salta,139.346,121.802,9.815,515,7.214
2016,1,San Juan,114.113,99.745,8.038,422,5.908
2016,1,San Luis,53.797,47.024,3.789,199,2.785
2016,1,Santa Cruz,47.233,41.286,3.327,175,2.445
2016,1,Santa Fe,741.856,648.454,52.254,2.742,38.406
2016,1,Santiago del Estero,64.481,56.363,4.542,238,3.338
2016,1,Tierra del Fuego,38.952,34.047,2.744,144,2.017
2016,1,Tucumán,211.561,184.925,14.902,782,10.952
2015,4,Buenos Aires,4.713.888,3.960.199,474.122,16.615,262.952
2015,4,Capital Federal,1.572.421,1.321.012,158.154,5.542,87.713
2015,4,Catamarca,39.268,32.990,3.950,138,2.190
2015,4,Chaco,103.362,86.836,10.396,364,5.766
2015,4,Chubut,110.994,93.247,11.164,391,6.192
2015,4,Córdoba,721.431,606.084,72.561,2.543,40.243
2015,4,Corrientes,107.615,90.409,10.824,379,6.003
2015,4,Entre Ríos,228.781,192.202,23.011,806,12.762
2015,4,Formosa,41.567,34.920,4.181,147,2.319
2015,4,Jujuy,56.957,47.850,5.729,201,3.177
2015,4,La Pampa,79.736,66.987,8.020,281,4.448
2015,4,La Rioja,38.574,32.406,3.880,136,2.152
2015,4,Mendoza,361.160,303.416,36.325,1.273,20.146
2015,4,Misiones,111.733,93.868,11.238,394,6.233
2015,4,Neuquén,108.302,90.986,10.893,382,6.041
2015,4,Río Negro,135.095,113.495,13.588,476,7.536
2015,4,Salta,141.131,118.566,14.195,497,7.873
2015,4,San Juan,104.387,87.697,10.499,368,5.823
2015,4,San Luis,53.012,44.536,5.332,187,2.957
2015,4,Santa Cruz,52.927,44.465,5.323,187,2.952
2015,4,Santa Fe,758.242,637.008,76.264,2.673,42.297
2015,4,Santiago del Estero,68.531,57.573,6.893,242,3.823
2015,4,Tierra del Fuego,35.528,29.848,3.573,125,1.982
2015,4,Tucumán,213.717,179.546,21.496,753,11.922
2015,3,Buenos Aires,4.713.132,3.922.463,513.849,16.521,260.299
2015,3,Capital Federal,1.627.395,1.354.386,177.427,5.704,89.878
2015,3,Catamarca,39.243,32.660,4.278,138,2.167
2015,3,Chaco,107.211,89.225,11.689,376,5.921
2015,3,Chubut,110.101,91.630,12.004,386,6.081
2015,3,Córdoba,727.761,605.673,79.344,2.551,40.193
2015,3,Corrientes,110.808,92.219,12.081,388,6.120
2015,3,Entre Ríos,235.242,195.778,25.647,825,12.992
2015,3,Formosa,41.803,34.789,4.558,147,2.309
2015,3,Jujuy,56.787,47.261,6.191,199,3.136
2015,3,La Pampa,78.651,65.456,8.575,276,4.344
2015,3,La Rioja,38.651,32.167,4.214,135,2.135
2015,3,Mendoza,358.373,298.253,39.072,1.256,19.792
2015,3,Misiones,113.211,94.219,12.343,397,6.252
2015,3,Neuquén,98.784,82.212,10.770,346,5.456
2015,3,Río Negro,133.855,111.399,14.594,469,7.393
2015,3,Salta,141.105,117.433,15.384,495,7.793
2015,3,San Juan,103.306,85.976,11.263,362,5.705
2015,3,San Luis,53.069,44.166,5.786,186,2.931
2015,3,Santa Cruz,60.005,49.939,6.542,210,3.314
2015,3,Santa Fe,766.859,638.212,83.607,2.688,42.352
2015,3,Santiago del Estero,69.165,57.562,7.541,242,3.820
2015,3,Tierra del Fuego,35.152,29.256,3.832,123,1.941
2015,3,Tucumán,213.481,177.668,23.275,748,11.790
2015,2,Buenos Aires,4.665.956,3.872.029,515.120,16.074,262.733
2015,2,Capital Federal,1.654.650,1.373.106,182.673,5.700,93.171
2015,2,Catamarca,39.141,32.481,4.321,135,2.204
2015,2,Chaco,104.243,86.506,11.508,359,5.870
2015,2,Chubut,107.612,89.302,11.880,371,6.059
2015,2,Córdoba,724.175,600.954,79.949,2.495,40.777
2015,2,Corrientes,108.530,90.063,11.982,374,6.111
2015,2,Entre Ríos,229.823,190.718,25.372,792,12.941
2015,2,Formosa,41.848,34.728,4.620,144,2.356
2015,2,Jujuy,56.443,46.840,6.231,194,3.178
2015,2,La Pampa,78.106,64.816,8.623,269,4.398
2015,2,La Rioja,38.903,32.283,4.295,134,2.191
2015,2,Mendoza,350.326,290.717,38.676,1.207,19.726
2015,2,Misiones,110.526,91.719,12.202,381,6.224
2015,2,Neuquén,97.708,81.082,10.787,337,5.502
2015,2,Río Negro,131.424,109.062,14.509,453,7.400
2015,2,Salta,140.955,116.971,15.561,486,7.937
2015,2,San Juan,100.775,83.628,11.126,347,5.674
2015,2,San Luis,52.860,43.866,5.836,182,2.976
2015,2,Santa Cruz,58.897,48.876,6.502,203,3.316
2015,2,Santa Fe,764.496,634.414,84.400,2.634,43.048
2015,2,Santiago del Estero,70.102,58.175,7.739,241,3.947
2015,2,Tierra del Fuego,34.186,28.369,3.774,118,1.925
2015,2,Tucumán,212.182,176.078,23.425,731,11.948
2015,1,Buenos Aires,4.801.996,3.979.224,540.095,17.562,265.115
2015,1,Capital Federal,1.634.130,1.354.140,183.795,5.976,90.219
2015,1,Catamarca,39.142,32.436,4.402,143,2.161
2015,1,Chaco,104.250,86.388,11.725,381,5.756
2015,1,Chubut,104.281,86.414,11.729,381,5.757
2015,1,Córdoba,729.084,604.164,82.002,2.666,40.252
2015,1,Corrientes,108.534,89.938,12.207,397,5.992
2015,1,Entre Ríos,229.839,190.458,25.851,841,12.689
2015,1,Formosa,41.854,34.683,4.707,153,2.311
2015,1,Jujuy,56.446,46.775,6.349,206,3.116
2015,1,La Pampa,76.862,63.693,8.645,281,4.243
2015,1,La Rioja,38.902,32.237,4.375,142,2.148
2015,1,Mendoza,339.093,280.993,38.139,1.240,18.721
2015,1,Misiones,110.526,91.589,12.431,404,6.102
2015,1,Neuquén,96.099,79.633,10.809,351,5.306
2015,1,Río Negro,127.343,105.523,14.323,466,7.031
2015,1,Salta,140.946,116.796,15.853,515,7.782
2015,1,San Juan,98.340,81.490,11.061,360,5.429
2015,1,San Luis,52.039,43.123,5.853,190,2.873
2015,1,Santa Cruz,57.685,47.801,6.488,211,3.185
2015,1,Santa Fe,766.506,635.174,86.211,2.803,42.318
2015,1,Santiago del Estero,70.101,58.091,7.884,256,3.870
2015,1,Tierra del Fuego,33.423,27.697,3.759,122,1.845
2015,1,Tucumán,212.265,175.896,23.874,776,11.719
2014,4,Buenos Aires,4.463.139,3.680.053,509.659,15.264,258.163
2014,4,Capital Federal,1.615.174,1.331.781,184.442,5.524,93.427
2014,4,Catamarca,39.423,32.506,4.502,135,2.280
2014,4,Chaco,105.378,86.890,12.033,360,6.095
2014,4,Chubut,99.562,82.093,11.369,341,5.759
2014,4,Córdoba,731.926,603.505,83.581,2.503,42.337
2014,4,Corrientes,105.219,86.758,12.015,360,6.086
2014,4,Entre Ríos,230.049,189.685,26.270,787,13.307
2014,4,Formosa,42.133,34.741,4.811,144,2.437
2014,4,Jujuy,56.456,46.550,6.447,193,3.266
2014,4,La Pampa,73.063,60.244,8.343,250,4.226
2014,4,La Rioja,39.162,32.291,4.472,134,2.265
2014,4,Mendoza,327.635,270.148,37.414,1.121,18.952
2014,4,Misiones,111.784,92.171,12.765,382,6.466
2014,4,Neuquén,93.902,77.426,10.723,321,5.432
2014,4,Río Negro,123.365,101.720,14.087,422,7.136
2014,4,Salta,141.211,116.435,16.125,483,8.168
2014,4,San Juan,95.135,78.443,10.864,325,5.503
2014,4,San Luis,51.237,42.247,5.851,175,2.964
2014,4,Santa Cruz,41.523,34.237,4.742,142,2.402
2014,4,Santa Fe,770.455,635.273,87.981,2.635,44.566
2014,4,Santiago del Estero,70.523,58.150,8.053,241,4.079
2014,4,Tierra del Fuego,32.912,27.137,3.758,113,1.904
2014,4,Tucumán,212.990,175.620,24.322,728,12.320
2014,3,Buenos Aires,4.405.762,3.631.816,500.343,14.902,258.701
2014,3,Capital Federal,1.607.082,1.324.771,182.509,5.436,94.366
2014,3,Catamarca,39.453,32.522,4.481,133,2.317
2014,3,Chaco,105.864,87.267,12.023,358,6.216
2014,3,Chubut,98.074,80.845,11.138,332,5.759
2014,3,Córdoba,733.130,604.343,83.258,2.480,43.049
2014,3,Corrientes,105.505,86.971,11.982,357,6.195
2014,3,Entre Ríos,230.563,190.061,26.184,780,13.538
2014,3,Formosa,42.310,34.878,4.805,143,2.484
2014,3,Jujuy,56.366,46.464,6.401,191,3.310
2014,3,La Pampa,72.155,59.480,8.194,244,4.237
2014,3,La Rioja,39.373,32.457,4.471,133,2.312
2014,3,Mendoza,320.228,263.975,36.367,1.083,18.803
2014,3,Misiones,111.998,92.324,12.719,379,6.576
2014,3,Neuquén,92.775,76.477,10.536,314,5.448
2014,3,Río Negro,121.350,100.033,13.781,410,7.126
2014,3,Salta,141.312,116.488,16.048,478,8.298
2014,3,San Juan,93.056,76.709,10.568,315,5.464
2014,3,San Luis,50.779,41.858,5.767,172,2.982
2014,3,Santa Cruz,41.015,33.810,4.658,139,2.408
2014,3,Santa Fe,772.744,636.998,87.757,2.614,45.375
2014,3,Santiago del Estero,70.719,58.296,8.031,239,4.153
2014,3,Tierra del Fuego,32.698,26.954,3.713,111,1.920
2014,3,Tucumán,212.958,175.548,24.185,720,12.505
2014,2,Buenos Aires,4.379.382,3.610.509,492.119,14.373,262.381
2014,2,Capital Federal,1.602.485,1.321.143,180.074,5.259,96.009
2014,2,Catamarca,39.351,32.442,4.422,129,2.358
2014,2,Chaco,102.310,84.347,11.497,336,6.130
2014,2,Chubut,97.603,80.467,10.968,320,5.848
2014,2,Córdoba,737.107,607.696,82.830,2.419,44.162
2014,2,Corrientes,102.628,84.609,11.533,337,6.149
2014,2,Entre Ríos,223.774,184.487,25.146,734,13.407
2014,2,Formosa,42.246,34.829,4.747,139,2.531
2014,2,Jujuy,56.187,46.323,6.314,184,3.366
2014,2,La Pampa,72.837,60.049,8.185,239,4.364
2014,2,La Rioja,39.474,32.543,4.436,130,2.365
2014,2,Mendoza,320.351,264.109,35.998,1.051,19.193
2014,2,Misiones,110.906,91.434,12.463,364,6.645
2014,2,Neuquén,92.792,76.501,10.427,305,5.559
2014,2,Río Negro,121.250,99.963,13.625,398,7.264
2014,2,Salta,141.122,116.346,15.858,463,8.455
2014,2,San Juan,92.439,76.210,10.388,303,5.538
2014,2,San Luis,51.093,42.123,5.741,168,3.061
2014,2,Santa Cruz,40.728,33.577,4.577,134,2.440
2014,2,Santa Fe,767.767,632.973,86.275,2.520,45.999
2014,2,Santiago del Estero,70.616,58.218,7.935,232,4.231
2014,2,Tierra del Fuego,32.631,26.902,3.667,107,1.955
2014,2,Tucumán,211.913,174.709,23.813,695,12.696
2014,1,Buenos Aires,4.385.408,3.622.153,488.810,14.179,260.266
2014,1,Capital Federal,1.604.914,1.325.588,178.888,5.189,95.249
2014,1,Catamarca,39.318,32.476,4.382,127,2.333
2014,1,Chaco,102.435,84.607,11.418,331,6.079
2014,1,Chubut,97.607,80.618,10.880,316,5.793
2014,1,Córdoba,741.515,612.460,82.651,2.397,44.007
2014,1,Corrientes,102.607,84.748,11.437,332,6.090
2014,1,Entre Ríos,223.508,184.607,24.913,723,13.265
2014,1,Formosa,42.201,34.856,4.704,136,2.505
2014,1,Jujuy,55.953,46.214,6.237,181,3.321
2014,1,La Pampa,72.038,59.500,8.030,233,4.275
2014,1,La Rioja,39.625,32.728,4.417,128,2.352
2014,1,Mendoza,320.413,264.647,35.714,1.036,19.016
2014,1,Misiones,111.018,91.696,12.374,359,6.589
2014,1,Neuquén,92.732,76.593,10.336,300,5.503
2014,1,Río Negro,121.289,100.180,13.519,392,7.198
2014,1,Salta,140.841,116.328,15.699,455,8.359
2014,1,San Juan,92.461,76.369,10.306,299,5.487
2014,1,San Luis,51.097,42.205,5.695,165,3.032
2014,1,Santa Cruz,40.625,33.555,4.528,131,2.411
2014,1,Santa Fe,770.361,636.284,85.867,2.491,45.719
2014,1,Santiago del Estero,70.717,58.409,7.882,229,4.197
2014,1,Tierra del Fuego,32.631,26.951,3.637,106,1.937
2014,1,Tucumán,210.917,174.209,23.509,682,12.517
