A̱o,Trimestre,Accesos por cada 100 hab,Periodo
2013,1,15.437,Ene-Mar 2013
2013,2,15.600,Abr-Jun 2013
2013,3,15.859,Jul-Sept 2013
2013,4,15.937,Oct-Dic 2013
2014,1,14.807,Ene-Mar 2014
2014,2,14.300,Abr-Jun 2014
2014,3,14.344,Jul-Sept 2014
2014,4,14.260,Oct-Dic 2014
2015,1,14.012,Ene-Mar 2015
2015,2,13.894,Abr-Jun 2015
2015,3,14.056,Jul-Sept 2015
2015,4,14.275,Oct-Dic 2015
2016,1,14.155,Ene-Mar 2016
2016,2,14.264,Abr-Jun 2016
2016,3,14.560,Jul-Sept 2016
2016,4,14.555,Oct-Dic 2016
2017,1,14.359,Ene-Mar 2017
2017,2,14.281,Abr-Jun 2017
2017,3,14.105,Jul-Sept 2017
2017,4,13.994,Oct-Dic 2017
2018,1,13.659,Ene-Mar 2018
2018,2,13.376,Abr-Jun 2018
2018,3,13.202,Jul-Sept 2018
2018,4,13.115,Oct-Dic 2018
2019,1,13.117,Ene-Mar 2019
2019,2,12.891,Abr-Jun 2019
2019,3,12.868,Jul-Sept 2019
2019,4,12.489,Oct-Dic 2019
2020,1,12.381,Ene-Mar 2020
2020,2,12.171,Abr-Jun 2020
2020,3,12.018,Jul-Sept 2020
2020,4,12.021,Oct-Dic 2020
2021,1,12.362,Ene-Mar 2021
2021,2,12.426,Abr-Jun 2021
2021,3,12.601,Jul-Sept 2021
2021,4,12.844,Oct-Dic 2021
2022,1,12.837,Ene-Mar 2022
2022,2,12.795,Abr-Jun 2022
2022,3,12.798,Jul-Sept 2022
2022,4,12.865,Oct-Dic 2022
