A̱o,Mes,Personal,Claro,Nextel,Movistar,Otros
2022,12,46.782,113.363,,109.610,224
2022,11,52.120,128.313,,118.940,238
2022,10,60.855,117.430,,119.716,153
2022,9,63.315,131.071,,115.906,143
2022,8,68.659,132.676,,115.879,42
2022,7,74.674,111.849,,111.521,27
2022,6,77.276,120.505,,115.937,54
2022,5,78.284,120.009,,120.463,49
2022,4,81.377,119.297,,116.799,24
2022,3,89.455,121.763,,129.339,9
2022,2,71.090,98.497,,95.792,
2022,1,73.717,88.856,,96.240,
2021,12,75.534,116.284,,102.538,
2021,11,81.311,126.052,,104.985,
2021,10,59.953,109.684,,94.402,
2021,9,64.926,114.432,,102.903,
2021,8,51.784,95.638,,105.276,
2021,7,60.070,90.200,,86.468,
2021,6,60.496,76.371,,69.162,
2021,5,54.806,69.968,,64.470,
2021,4,59.652,92.317,,80.413,
2021,3,48.500,90.372,,88.262,
2021,2,38.849,70.465,,67.414,
2021,1,50.281,59.515,,60.438,
2020,12,64.018,52.124,,85.248,
2020,11,66.673,67.793,,101.097,
2020,10,74.301,64.224,,103.392,
2020,9,104.995,77.443,,114.069,
2020,8,104.601,78.804,,112.460,
2020,7,76.580,86.328,,90.651,
2020,6,81.723,86.023,,81.860,
2020,5,52.346,72.532,,61.038,
2020,4,40.750,52.115,,38.307,
2020,3,93.260,91.794,,74.891,
2020,2,105.456,105.933,,99.332,
2020,1,105.975,119.695,,93.691,
2019,12,118.926,115.255,,81.623,
2019,11,122.121,100.593,,90.280,
2019,10,179.629,95.397,,102.656,
2019,9,164.917,76.641,,111.005,
2019,8,112.291,86.058,,124.810,
2019,7,103.843,82.485,,143.327,
2019,6,88.400,67.440,,129.752,
2019,5,106.434,87.637,,137.443,
2019,4,92.931,76.450,,102.819,
2019,3,76.189,69.313,,73.611,
2019,2,76.092,71.701,,66.692,
2019,1,71.114,72.971,,59.687,
2018,12,57.220,57.390,,55.891,
2018,11,60.961,59.247,,54.266,
2018,10,63.340,59.447,,48.759,
2018,9,58.889,51.444,,43.296,
2018,8,55.234,51.724,2,42.499,
2018,7,51.810,40.638,2,39.969,
2018,6,54.088,38.957,3,38.406,
2018,5,52.440,43.353,1,43.987,
2018,4,36.733,39.355,1,40.674,
2018,3,34.699,42.155,7,38.111,
2018,2,27.757,32.373,7,31.010,
2018,1,33.082,37.392,6,35.985,
2017,12,34.212,31.605,5,36.796,
2017,11,38.124,32.483,7,43.126,
2017,10,35.106,31.308,12,44.360,
2017,9,29.727,29.254,16,45.112,
2017,8,32.438,33.573,11,48.605,
2017,7,28.801,33.225,10,48.663,
2017,6,27.878,30.152,10,46.635,
2017,5,26.815,37.117,12,46.360,
2017,4,22.779,35.362,9,42.091,
2017,3,35.054,44.484,17,45.757,
2017,2,28.147,36.141,13,33.437,
2017,1,40.045,45.136,11,32.769,
2016,12,49.056,49.418,8,41.295,
2016,11,60.749,59.173,31,53.090,
2016,10,63.646,66.547,21,48.557,
2016,9,66.049,66.661,12,44.350,
2016,8,61.158,64.310,30,55.470,
2016,7,52.424,56.027,16,45.767,
2016,6,52.415,56.339,19,45.423,
2016,5,47.523,57.266,33,43.505,
2016,4,43.425,54.620,22,45.207,
2016,3,40.567,46.820,46,40.978,
2016,2,34.206,43.156,38,29.873,
2016,1,33.697,41.738,37,27.419,
2015,12,39.724,49.628,48,27.740,
2015,11,35.672,49.509,67,31.906,
2015,10,36.550,62.394,70,28.987,
2015,9,34.797,66.242,101,23.639,
2015,8,32.414,56.791,81,17.030,
2015,7,38.991,64.814,122,18.966,
2015,6,43.877,67.324,115,16.170,
2015,5,29.633,58.549,103,12.651,
2015,4,30.317,59.543,136,13.426,
2015,3,27.141,45.272,100,11.898,
2015,2,23.254,40.913,83,9.631,
2015,1,32.142,42.240,144,10.161,
2014,12,34.862,41.532,348,13.603,
2014,11,25.707,35.730,124,12.571,
2014,10,39.893,41.998,116,15.247,
2014,9,32.561,41.094,172,15.167,
2014,8,27.979,39.750,123,12.412,
2014,7,28.078,41.544,155,15.936,
2014,6,24.978,38.601,149,10.941,
2014,5,22.177,27.152,163,9.035,
2014,4,20.250,21.888,155,5.750,
2014,3,14.253,21.314,170,5.635,
2014,2,11.052,16.992,193,4.948,
2014,1,10.790,14.575,134,4.724,
2013,12,13.106,14.760,153,5.274,
2013,11,11.438,15.022,151,6.625,
2013,10,12.349,15.240,175,6.799,
2013,9,11.604,14.897,210,6.972,
2013,8,7.539,13.439,213,7.351,
2013,7,7.831,12.628,226,6.420,
2013,6,6.376,9.496,257,5.936,
2013,5,8.169,12.169,318,8.227,
2013,4,8.107,11.615,240,7.560,
2013,3,7.424,9.224,249,7.368,
2013,2,6.277,8.016,200,5.836,
2013,1,9.208,11.356,271,6.720,
2012,12,8.612,10.740,280,7.165,
2012,11,10.914,11.456,398,7.671,
2012,10,13.126,13.664,375,8.452,
2012,9,11.975,12.780,405,8.232,
2012,8,12.225,10.677,599,10.017,
2012,7,13.494,9.651,487,10.173,
2012,6,10.472,10.153,676,9.523,
2012,5,10.770,15.663,312,7.890,
2012,4,4.883,2.188,26,937,
2012,3,40,72,0,41,
