A̱o,Trimestre,Total de accesos pospago,Total de accesos prepago,Total de accesos operativos,Periodo
2013,1,7.761.349,57.147.608,64.908.957,Ene-Mar 2013
2013,2,7.769.110,58.004.822,65.773.932,Abr-Jun 2013
2013,3,8.002.183,59.048.909,67.051.092,Jul-Sept 2013
2013,4,8.674.516,58.894.516,67.569.032,Oct-Dic 2013
2014,1,8.224.482,54.725.089,62.949.571,Ene-Mar 2013
2014,2,7.953.775,53.009.865,60.963.640,Abr-Jun 2014
2014,3,8.214.424,53.102.043,61.316.467,Jul-Sept 2014
2014,4,8.027.505,53.093.330,61.120.835,Oct-Dic 2014
2015,1,7.747.230,52.474.633,60.221.863,Ene-Mar 2015
2015,2,7.633.527,52.241.939,59.875.466,Abr-Jun 2015
2015,3,7.600.799,53.131.712,60.732.511,Jul-Sept 2015
2015,4,7.594.526,54.247.485,61.842.011,Oct-Dic 2015
2016,1,7.483.126,54.003.635,61.486.761,Ene-Mar 2016
2016,2,7.565.115,54.557.406,62.122.521,Abr-Jun 2016
2016,3,7.520.789,56.058.550,63.579.339,Jul-Sept 2016
2016,4,7.637.635,56.082.170,63.719.805,Oct-Dic 2016
2017,1,7.502.772,55.523.350,63.026.122,Ene-Mar 2017
2017,2,7.415.230,55.483.528,62.898.758,Abr-Jun 2017
2017,3,7.272.585,54.958.224,62.230.809,Jul-Sept 2017
2017,4,7.108.228,54.789.151,61.897.379,Oct-Dic 2017
2018,1,7.101.698,53.470.098,60.571.796,Ene-Mar 2018
2018,2,6.637.444,52.828.949,59.466.393,Abr-Jun 2018
2018,3,6.551.391,52.289.745,58.841.136,Jul-Sept 2018
2018,4,6.488.017,52.110.024,58.598.041,Oct-Dic 2018
2019,1,6.645.995,51.960.447,58.606.442,Ene-Mar 2019
2019,2,5.924.037,51.672.054,57.596.091,Abr-Jun 2019
2019,3,5.974.898,50.300.828,56.275.726,Jul-Sept 2019
2019,4,5.797.378,50.133.536,55.930.914,Oct-Dic 2019
2020,1,57.431.320,49.869.048,55.612.810,Ene-Mar 2020
2020,2,5.659.667,49.391.056,55.050.723,Abr-Jun 2020
2020,3,5.559.724,49.060.162,54.619.886,Jul-Sept 2020
2020,4,5.556.299,49.207.602,54.763.900,Oct-Dic 2020
2021,1,6.041.047,50.411.986,56.453.033,Ene-Mar 2021
2021,2,6.046.091,50.829.471,56.875.562,Abr-Jun 2021
2021,3,6.104.479,51.708.030,57.812.509,Jul-Sept 2021
2021,4,6.186.994,52.878.833,59.065.827,Oct-Dic 2021
2022,1,6.231.309,52.937.601,59.168.910,Ene-Mar 2022
2022,2,6.245.815,52.865.377,59.111.192,Abr-Jun 2022
2022,3,6.250.732,53.008.139,59.258.871,Jul-Sept 2022
2022,4,6.546.406,53.157.521,59.703.927,Oct-Dic 2022
