A̱o,Trimestre,Llamadas pospago salientes (miles),Llamadas prepago salientes (miles),Total de llamadas salientes (miles),Periodo
2013,1,3.796.547,3412766,7209313,Ene-Mar 2013
2013,2,4.156.872,3699387,7856258,Abr-Jun 2013
2013,3,4.466.727,3814925,8281653,Jul-Sept 2013
2013,4,4.743.791,3906876,8650667,Oct-Dic 2013
2014,1,4.001.399,3589181,7590580,Ene-Mar 2013
2014,2,4.373.148,3942142,8315290,Abr-Jun 2014
2014,3,4.676.132,4356668,9032801,Jul-Sept 2014
2014,4,4.957.353,4649196,9606550,Oct-Dic 2014
2015,1,4.180.427,3992229,8172656,Ene-Mar 2015
2015,2,4.612.087,4081505,8693592,Abr-Jun 2015
2015,3,4.834.496,4544938,9379434,Jul-Sept 2015
2015,4,5.015.851,4799840,9815691,Oct-Dic 2015
2016,1,4.602.640,4291789,8894429,Ene-Mar 2016
2016,2,4.633.918,4362030,8995948,Abr-Jun 2016
2016,3,5.125.311,3985485,9110796,Jul-Sept 2016
2016,4,5.977.412,3289295,9266707,Oct-Dic 2016
2017,1,5.337.927,2883162,8221089,Ene-Mar 2017
2017,2,5.431.369,2753032,8184400,Abr-Jun 2017
2017,3,5.401.689,2812805,8214493,Jul-Sept 2017
2017,4,5.506.428,2895913,8402341,Oct-Dic 2017
2018,1,4.629.943,2639039,7268982,Ene-Mar 2018
2018,2,4.997.593,2617568,7615161,Abr-Jun 2018
2018,3,5.114.169,2585551,7699720,Jul-Sept 2018
2018,4,5.415.217,2825480,8240697,Oct-Dic 2018
2019,1,4.990.885,2569628,7560513,Ene-Mar 2019
2019,2,5.081.581,2632188,7713769,Abr-Jun 2019
2019,3,4.735.772,2519093,7254864,Jul-Sept 2019
2019,4,4.935.402,2665719,7601121,Oct-Dic 2019
2020,1,4.356.731,2226861,6583591,Ene-Mar 2020
2020,2,3.944.061,2091330,6035390,Abr-Jun 2020
2020,3,4.216.177,2040647,6256823,Jul-Sept 2020
2020,4,4.653.523,1353625,6007148,Oct-Dic 2020
2021,1,4.312.129,1273254,5585383,Ene-Mar 2021
2021,2,4.343.282,1084244,5427526,Abr-Jun 2021
2021,3,4.365.100,1195389,5560488,Jul-Sept 2021
2021,4,4.580.319,1355533,5935852,Oct-Dic 2021
2022,1,4.073.512,1265694,5339206,Ene-Mar 2022
2022,2,4.109.736,1364889,5474625,Abr-Jun 2022
2022,3,4.080.043,1309303,5389346,Jul-Sept 2022
2022,4,3.912.855,1113470,5026325,Oct-Dic 2022
